id,answer
19,8.84
13,0.386
10,1.506531
14,27.26
15,e^{58.02}
16,3.5
21,因此，最终答案无法计算
17,5.65
8,0.0195
20,7.15
6,0.4
18,88
3,2.71
4,397.2
9,0.300
2,0.90
5,0.0016
1,1.386
12,2.366
0,0.9546
24,69.6
36,3.906
28,0.0005443
29,0.7660
30,65.0
27,214
37,3.6666666667
39,1110
40,0.4
25,4.21
26,87.2
22,0.8
45,7.0
32,3.84
33,5.09
34,2.04
38,0.2006
23,7.733
35,0.314
41,5.67
53,4.65
50,-3
55,1876.544
49,89.44
31,476
51,0.999957
52,0.326
60,9.96
42,5.88
64,1835
44,33484.32
43,6.17
68,3.10
48,95.801
65,0.425
54,1.14
11,29.34
59,2.835
63,-4.0
46,15.5
73,573
47,25
71,4.96
66,21.46
74,1.176
58,11.31
62,4.50
79,9106.25
75,0.098
80,1798
67,1.68
78,6.4
82,15.8
72,1840
61,8.94
83,0.652
90,3.54
85,9.05
57,516.67
92,1.99
87,2648
77,6
93,14000
84,1.3348
95,7.031
98,108000
88,15.6
107,1.73
81,1.398
89,1.81
69,1.9444444444
105,12.337
104,9.0
91,12.86
97,170.21
103,29700000
109,0
86,7.56
96,330.35
94,1.16
108,7.0
101,4.74
56,0.784
111,1.797
115,3.524
114,0.1225
116,1.5
76,33832.464
106,5.38
113,3.70
110,35.7998
112,8.69
124,0.527
130,2.8977719
127,91.1
120,8.21
122,3
119,1
99,2.688
123,4.74
118,5270
126,0.527
134,7.00
102,19.6
128,6.626
131,-1/2
129,316.5
133,0.25
125,54.4
121,239.45
132,1/3
144,1.00617
141,5.736
150,1.243
135,0.13886
136,1.2816
138,1761
137,1.07
143,2.64
117,883500000
142,12
146,11145.28
149,210
151,1.602
140,5.116
147,2
153,75.99375
139,1.9878
154,-0.25
148,3.235
162,0.0277
100,1.28
156,43.6
164,0.5
160,5.93
155,234.611
161,12.3
157,16.79
167,0.535
159,3.59
158,3.55
145,1.696
165,22.38
152,0.2
166,1.1177
169,11.4
170,0.484
175,0.727
168,3.407
172,256
182,1.75
178,-166.44
163,-2128
174,1.17
173,6.34
177,0.6997
183,0.03969405
193,0.42
176,1.233
192,59
185,13.7
180,616.8
181,51.69
188,-1004.3
190,103.7
187,186
210,54.7356
201,9.12
195,263.4
197,10.4
199,1.827
194,11.08
209,0.333
204,1
189,-513.563
212,-4.75
215,22.51
198,1.46
200,400
222,1
191,463.5
203,-13.6
205,15
208,0.054
206,27.297
228,8.79e10
213,4.49
218,1.67
223,4.05
216,0.00021
217,278.08
214,1.34596
211,18878.893
220,2.75
224,4
219,4.74
221,1
202,2.428822
225,4270
226,431.67
229,20
231,0
196,524.3
179,0.52
230,1.12
186,538
171,5.0
207,5.644
227,0.1414
184,4.41
